question,route
"Найди статьи про graph retrieval augmented generation",search
"Что есть по теме mixture of experts в больших языковых моделях?",search
"Подбери свежие работы про квантизацию LLM",search
"Сделай конспект статьи 2310.06825",summarize
"Разбери статью arXiv 1706.03762, в чём её суть?",summarize
"Кратко перескажи о чём статья 2005.11401",summarize
"Посчитай прирост: (0.97 - 0.74) / 0.74 * 100",calc
"Какова разница между 0.91 и 0.88?",calc
"Во сколько раз 128 больше 32?",calc
"Привет, чем ты можешь помочь?",chat
"Спасибо, это было полезно!",chat
"Что такое arXiv и зачем он нужен?",chat
